LAMMPS data file via write_data, version 17 Apr 2024, timestep = 2, units = metal

28730 atoms
3 atom types

-4.344211886243054e-10 237.5204530671124 xlo xhi
-142.51227184036094 47.504090613689534 ylo yhi
2.5617260046060094e-12 7.889999999997438 zlo zhi

Masses

1 87.62
2 47.867
3 15.999

Atoms # charge

137 2 2.39969015403716 1.1903535442023871 -140.56922879851277 1.972500000001277 0 0 0
138 3 -1.20015527937199 1.1237721552597217 -142.41567677510412 1.9725000000012785 0 0 0
142 3 -1.20015527937199 3.0346649683994262 -140.1344986826768 1.9725000000012827 0 0 0
141 2 2.39969015403716 4.9155379152473575 -139.78349574044543 1.9725000000012807 0 0 0
143 3 -1.20015527937199 5.230052950701129 -141.53670005893656 1.9725000000012796 0 0 0
147 3 -1.20015527937199 6.810002137018718 -139.55916613325854 1.9725000000012793 0 0 0
146 2 2.39969015403716 8.677180560491768 -139.57565734844397 1.97250000000128 0 0 0
148 3 -1.20015527937199 8.72922324335332 -141.41883879205412 1.9725000000012827 0 0 0
151 2 2.39969015403716 12.479523578588019 -139.53956516020298 1.9725000000012798 0 0 0
152 3 -1.20015527937199 10.576034010635112 -139.55703056778697 1.97250000000128 0 0 0
153 3 -1.20015527937199 12.550313518058225 -141.3933610275577 1.9725000000012782 0 0 0
11037 3 -1.20015527937199 12.478102077593562 -139.5531757210496 3.9449999999999994 0 0 0
157 3 -1.20015527937199 14.421440646132924 -139.5059446617126 1.9725000000012798 0 0 0
156 2 2.39969015403716 16.3673271949463 -139.50481835034276 1.9725000000012802 0 0 0
158 3 -1.20015527937199 16.44218768084567 -141.36285002077676 1.9725000000012802 0 0 0
160 1 1.19958649207443 18.387018329524757 -141.29937068873787 2.5617260046060094e-12 0 0 0
162 3 -1.20015527937199 18.33766052133949 -139.47319434492007 1.9725000000012798 0 0 0
11042 3 -1.20015527937199 16.367783827475655 -139.51722065556874 3.9449999999999994 0 0 0
11043 1 1.19958649207443 18.387018329524757 -141.29937068873787 3.9449999999999985 0 0 0
161 2 2.39969015403716 20.298072926231324 -139.47364243873548 1.9725000000012796 0 0 0
163 3 -1.20015527937199 20.37629169781063 -141.33912576744171 1.9725000000012802 0 0 0
164 3 -1.20015527937199 20.30013855131402 -139.483470120305 2.5626182081020354e-12 0 0 0
165 1 1.19958649207443 22.32596339544292 -141.27918301837977 2.5617260046060094e-12 0 0 0
167 3 -1.20015527937199 22.27638469585656 -139.4406824252398 1.9725000000012802 0 0 0
11047 3 -1.20015527937199 20.30013855131402 -139.483470120305 3.944999999999998 0 0 0
166 2 2.39969015403716 24.238061414766886 -139.44105634552173 1.9725000000012782 0 0 0
168 3 -1.20015527937199 24.318648928402073 -141.3150158204393 1.97250000000128 0 0 0
171 2 2.39969015403716 28.178628422044383 -139.4064694042442 1.9725000000012798 0 0 0
172 3 -1.20015527937199 26.218457347986615 -139.40671557771785 1.97250000000128 0 0 0
173 3 -1.20015527937199 28.261228051923013 -141.28923164236102 1.9725000000012805 0 0 0
11057 3 -1.20015527937199 28.182871189397382 -139.41172901843225 3.9449999999999985 0 0 0
176 2 2.39969015403716 32.11872313650622 -139.36979369630495 1.9725000000012813 0 0 0
177 3 -1.20015527937199 30.160285084558733 -139.37086996330865 1.9725000000012802 0 0 0
178 3 -1.20015527937199 32.20325440097692 -141.26166042081562 1.9725000000012813 0 0 0
179 3 -1.20015527937199 32.12402094074246 -139.37302451465283 2.5617260046060094e-12 0 0 0
180 1 1.19958649207443 34.148048620363696 -141.20529744118645 2.5617260046060094e-12 0 0 0
182 3 -1.20015527937199 34.101497756477336 -139.33294111849082 1.9725000000012805 0 0 0
11063 1 1.19958649207443 34.1480486203637 -141.20529744118645 3.944999999999999 0 0 0
181 2 2.39969015403716 36.05818472843986 -139.33064642161034 1.9725000000012807 0 0 0
183 3 -1.20015527937199 36.144746686245675 -141.2316157286053 1.9725000000012807 0 0 0
187 3 -1.20015527937199 38.04206027851709 -139.29239319418056 1.9725000000012807 0 0 0
11067 3 -1.20015527937199 36.0645588429264 -139.33209610331554 3.9449999999999994 0 0 0
186 2 2.39969015403716 39.9968735590118 -139.2885715681802 1.9725000000012802 0 0 0
188 3 -1.20015527937199 40.08528245870693 -141.1987623769347 1.9725000000012802 0 0 0
189 3 -1.20015527937199 40.00449130379614 -139.28837294728345 2.5617260046060094e-12 0 0 0
190 1 1.19958649207443 42.02523129434802 -141.14036396968652 2.5617260046060094e-12 0 0 0
192 3 -1.20015527937199 41.981881733716165 -139.2488867219428 1.97250000000128 0 0 0
11072 3 -1.20015527937199 40.00449130379614 -139.28837294728345 3.944999999999998 0 0 0
11073 1 1.19958649207443 42.02523129434802 -141.14036396968652 3.9449999999999994 0 0 0
191 2 2.39969015403716 43.93468089590968 -139.24348090476494 1.97250000000128 0 0 0
193 3 -1.20015527937199 44.02476179503552 -141.1625602401001 1.97250000000128 0 0 0
11077 3 -1.20015527937199 43.943758795262816 -139.24184290028083 3.944999999999999 0 0 0
198 3 -1.20015527937199 47.96323893733227 -141.1227775825328 1.9725000000012805 0 0 0
203 3 -1.20015527937199 51.90350347398716 -141.07536453123967 1.9725000000012813 0 0 0
11083 1 1.19958649207443 49.89706335471678 -141.05886500365858 3.944999999999999 0 0 0
205 1 1.19958649207443 53.829754035887 -141.00587579366476 2.562748745777382e-12 0 0 0
11088 1 1.19958649207443 53.829754035887 -141.00587579366476 3.944999999999998 0 0 0
208 3 -1.20015527937199 55.836563341415825 -141.02309747598167 1.97250000000128 0 0 0
